ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
571226_095,77,9,3,39.5467,-5,34,54.676,287,153,0,500,2018-04-18T13:17:43.937,2018,4,18,22,17,43.93656,0.27768,108.239599,103.938985,140.603655,59.664314,32.826081,34,84,232.647936,31.238632,203321.4017,235.255485,30.158831,201309.3389
571311_057,72,9,7,48.3132,-9,33,35.007,250,128,0,500,2018-04-18T13:18:28.175,2018,4,18,22,18,28.17504,0.27144,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831
571314_058,54.5,9,8,6.5041,-7,10,35.008,306,145,160,440,2018-04-18T13:18:28.175,2018,4,18,22,18,28.17504,0.27144,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831
571332_057,72,8,59,32.4253,-8,53,6.271,341,230,150,460,2018-04-18T13:18:28.175,2018,4,18,22,18,28.17504,0.27144,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831
571342_058,73.5,8,55,56.9275,-8,35,19.427,488,9,472,497,2018-04-18T13:18:28.175,2018,4,18,22,18,28.17504,0.27144,94.596222,91.496659,137.197844,66.244898,28.051143,51,88,232.654002,27.09488,201224.138,234.874129,26.222579,200368.9831
571913_111,103.5,9,14,42.2521,-8,5,19.626,323,230,140,480,2018-04-18T13:25:25.147,2018,4,18,22,25,25.14744,0.43056,101.155917,94.914469,168.293807,30.025171,16.686896,70,130,233.661019,29.021196,202557.5758,234.712921,27.689329,198138.8948
572125_014,69,9,16,21.8317,-6,26,14.025,227,195,30,420,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23712,105.624784,102.563296,137.298135,69.661741,39.150389,33,69,232.00517,30.270453,203870.732,234.815533,29.418033,202953.214
572126_014,111.5,9,17,23.3033,-5,41,58.947,419,245,350,490,2018-04-18T13:26:56.155,2018,4,18,22,26,56.15472,0.23712,105.624784,102.563296,137.298135,69.661741,39.150389,33,69,232.00517,30.270453,203870.732,234.815533,29.418033,202953.214
572211_063,124.5,9,20,28.5457,-9,28,39.202,183,69,90,260,2018-04-18T13:28:23.362,2018,4,18,22,28,23.36184,0.29952,95.67595,88.909058,75.772978,40.111333,29.51057,45,86,232.726047,28.001289,197774.9077,233.466469,25.561245,199190.7933
572311_102,71,9,20,32.5753,-9,34,57.536,196,148,50,350,2018-04-18T13:29:45.895,2018,4,18,22,29,45.8952,0.31512,92.712446,90.344938,120.995014,76.725974,28.62354,46,90,232.189516,27.371879,195568.8488,234.817841,26.321669,197250.4379
572414_094,156,9,20,36.1708,-7,14,2.912,206,191,170,240,2018-04-18T13:30:45.465,2018,4,18,22,30,45.46536,0.3432,90.328247,87.906064,39.171275,73.819547,26.381024,60,109,234.560047,26.927944,193357.04,233.873899,25.168037,199671.2148
572421_095,156,9,16,20.4541,-9,37,14.708,230,178,190,280,2018-04-18T13:30:45.465,2018,4,18,22,30,45.46536,0.3432,90.328247,87.906064,39.171275,73.819547,26.381024,60,109,234.560047,26.927944,193357.04,233.873899,25.168037,199671.2148
572514_006,81.5,9,20,48.3046,-7,16,10.628,244,218,15,490,2018-04-18T13:31:03.817,2018,4,18,22,31,3.8172,0.3276,102.749501,96.47501,136.083626,56.473089,34.594336,53,106,232.221318,30.145472,199118.2736,235.348447,28.419689,196870.6914
572514_006,81.5,9,20,48.3046,-7,16,10.628,244,218,15,490,2018-04-18T13:31:04.251,2018,4,18,22,31,4.25088,0.09984,94.4497,92.500277,134.89774,55.098995,33.057663,20,32,236.353847,27.832947,196320.2591,237.27279,27.259366,195848.1295
572524_007,81.5,9,16,27.4297,-7,5,56.17,247,91,15,490,2018-04-18T13:31:03.817,2018,4,18,22,31,3.8172,0.3276,102.749501,96.47501,136.083626,56.473089,34.594336,53,106,232.221318,30.145472,199118.2736,235.348447,28.419689,196870.6914
572524_007,81.5,9,16,27.4297,-7,5,56.17,247,91,15,490,2018-04-18T13:31:04.251,2018,4,18,22,31,4.25088,0.09984,94.4497,92.500277,134.89774,55.098995,33.057663,20,32,236.353847,27.832947,196320.2591,237.27279,27.259366,195848.1295
572534_007,79,9,13,24.3132,-6,58,40.152,491,2,485,498,2018-04-18T13:31:03.817,2018,4,18,22,31,3.8172,0.3276,102.749501,96.47501,136.083626,56.473089,34.594336,53,106,232.221318,30.145472,199118.2736,235.348447,28.419689,196870.6914
572534_007,79,9,13,24.3132,-6,58,40.152,491,2,485,498,2018-04-18T13:31:04.251,2018,4,18,22,31,4.25088,0.09984,94.4497,92.500277,134.89774,55.098995,33.057663,20,32,236.353847,27.832947,196320.2591,237.27279,27.259366,195848.1295
